06-05 00:03:54.102 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.102Z | MARKER_UI_SMOOTH | {"t":1780610634102,"seq":2449,"gpsTickId":1780610633921,"gpsTickAgeMs":85,"lat":51.320315,"lng":19.108283,"hdg":184,"uiMoveM":1.6,"uiHdgDeltaDeg":11,"msSinceCommit":32,"svGapM":null}
06-05 00:03:54.103 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.103Z | CAMERA_PIPELINE | {"t":1780610634103,"seq":2450,"gpsTickId":1780610633921,"gpsTickAgeMs":86,"lat":51.320324,"lng":19.108282,"hintHdg":187,"followHdg":185,"camHdgFlipDeg":2,"speedKmh":55,"frameMoveM":0,"rawGapM":7.3,"segMs":380,"msSinceCamPush":204,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:54.103 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.103Z | DRIVE_TRACE_CAMERA | {"t":1780610634103,"seq":2451,"gpsTickId":1780610633921,"gpsTickAgeMs":86,"lat":51.320324,"lng":19.108282,"hdg":185,"speedKmh":54.7,"exploring":false,"frameMoveM":0}
06-05 00:03:54.230 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.230Z | CAMERA_PIPELINE | {"t":1780610634230,"seq":2452,"gpsTickId":1780610633921,"gpsTickAgeMs":213,"lat":51.32029,"lng":19.108287,"hintHdg":187,"followHdg":187,"camHdgFlipDeg":0,"speedKmh":55,"frameMoveM":0,"rawGapM":3.5,"segMs":380,"msSinceCamPush":15,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:54.232 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.231Z | MARKER_UI_SMOOTH | {"t":1780610634231,"seq":2453,"gpsTickId":1780610633921,"gpsTickAgeMs":214,"lat":51.32029,"lng":19.108287,"hdg":175,"uiMoveM":0.7,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:54.254 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.254Z | DRIVE_TRACE_CAMERA | {"t":1780610634254,"seq":2454,"gpsTickId":1780610633921,"gpsTickAgeMs":237,"lat":51.320286,"lng":19.108287,"hdg":175,"speedKmh":54.7,"exploring":false,"frameMoveM":0}
06-05 00:03:54.363 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.363Z | CAMERA_PIPELINE | {"t":1780610634363,"seq":2455,"gpsTickId":1780610633921,"gpsTickAgeMs":346,"lat":51.320266,"lng":19.10829,"hintHdg":187,"followHdg":179,"camHdgFlipDeg":8,"speedKmh":55,"frameMoveM":0,"rawGapM":0.7,"segMs":380,"msSinceCamPush":16,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:03:54.364 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.364Z | MARKER_UI_SMOOTH | {"t":1780610634364,"seq":2456,"gpsTickId":1780610633921,"gpsTickAgeMs":347,"lat":51.320266,"lng":19.10829,"hdg":175,"uiMoveM":0.7,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:54.415 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.415Z | CAMERA_HEADING | {"t":1780610634415,"speedKmh":55,"movedM":0.06,"moveBearing":null,"snapHdg":187,"headingOut":187,"flipFromPrevDeg":12,"lookaheadM":47,"nativeFollow":true,"frameDtMs":19,"impliedKmh":12,"followFromWorklet":true}
06-05 00:03:54.416 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.416Z | CAM_FOLLOW_PUSH | {"t":1780610634416,"lat":51.320259,"lng":19.108291,"hdg":187,"snapHdg":187,"speedKmh":55,"exploring":false,"source":"drive_marker_sv_60fps"}
