06-04 20:37:29.581 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:29.581Z | CAM_FOLLOW_PUSH | {"t":1780598249581,"lat":51.352105,"lng":19.37496,"hdg":324,"snapHdg":324,"speedKmh":0,"exploring":false,"source":"drive_marker_sv_60fps"}
06-04 20:37:30.964 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:30.964Z | RAW_GPS_TICK | {"t":1780598250964,"gpsTickId":1780598250950,"gpsTickAgeMs":0,"lat":51.352111,"lng":19.374842,"speed":2.33,"speedKmh":8.4,"accuracy":5,"osTimestamp":1780598250950,"tripActive":true,"appState":"active"}
06-04 20:37:30.965 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:30.965Z | DRIVE_TRACE_RAW | {"t":1780598250965,"seq":63,"gpsTickId":1780598250950,"gpsTickAgeMs":1,"rawLat":51.352111,"rawLng":19.374842,"accM":5,"speedKmh":8.4,"speedMs":2.3,"heading":250,"tripActive":true,"driving":true,"navigating":false,"osTimestamp":1780598250950}
06-04 20:37:30.965 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:30.965Z | ROAD_MATCH_SOFT_APPLY_V2 | {"t":1780598250965,"pts":2,"shiftM":25}
06-04 20:37:30.965 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:30.965Z | ROAD_MATCH_SOFT_APPLY | {"pts":2,"shiftM":25}
06-04 20:37:30.965 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:30.965Z | DRIVE_API | {"allow":false,"trigger":null,"crossTrackM":0,"buffered":2,"throttleBlocked":true}
06-04 20:37:30.966 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:30.966Z | DRIVE_TRACE_FEED | {"t":1780598250966,"seq":64,"gpsTickId":1780598250950,"gpsTickAgeMs":2,"lat":51.352006,"lng":19.375104,"hdg":312,"durationMs":1200,"speedKmh":8.4}
06-04 20:37:30.967 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:30.967Z | DRIVE_TRACE_TICK | {"t":1780598250967,"seq":65,"gpsTickId":1780598250950,"gpsTickAgeMs":3,"rawLat":51.352111,"rawLng":19.374842,"snapLat":51.352006,"snapLng":19.375104,"markerLat":51.352006,"markerLng":19.375104,"markerHdg":312,"markerSvLat":51.352118,"markerSvLng":19.37494,"markerSvHdg":324,"accM":5,"hudKmh":8.4,"engineKmh":5.3,"dopplerKmh":8.4,"feedDurMs":1200,"cadenceMs":2660,"feedSpeedMs":2.3,"isNavigating":false,"isFreeDrive":true,"isMoving":true,"feedSkipGate":false,"feedAccepted":true,"feedHeadingOnly":false,"source":"drive_core_v2"}
06-04 20:37:30.967 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:30.967Z | GPS_ACCEPT | {"lat":51.352111,"lng":19.374842,"acc":5,"speedKmh":8.4,"gpsLock":true}
06-04 20:37:30.997 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:30.997Z | CAMERA_HEADING | {"t":1780598250997,"speedKmh":8,"movedM":0.42,"moveBearing":null,"snapHdg":324,"headingOut":324,"flipFromPrevDeg":0,"lookaheadM":0,"nativeFollow":true}
06-04 20:37:30.999 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:30.999Z | CAM_FOLLOW_PUSH | {"t":1780598250999,"lat":51.352117,"lng":19.374942,"hdg":324,"snapHdg":324,"speedKmh":8,"exploring":false,"source":"drive_marker_sv_60fps"}
06-04 20:37:31.000 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:30.999Z | DRIVE_TRACE_CAMERA | {"t":1780598250999,"seq":66,"gpsTickId":1780598250950,"gpsTickAgeMs":35,"lat":51.352117,"lng":19.374942,"hdg":324,"speedKmh":8.4,"exploring":false,"frameMoveM":0}
06-04 20:37:31.314 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:31.314Z | DRIVE_TRACE_CAMERA | {"t":1780598251314,"seq":67,"gpsTickId":1780598250950,"gpsTickAgeMs":350,"lat":51.352086,"lng":19.374987,"hdg":321,"speedKmh":8.4,"exploring":false,"frameMoveM":0}
06-04 20:37:31.614 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:31.614Z | DRIVE_TRACE_CAMERA | {"t":1780598251614,"seq":68,"gpsTickId":1780598250950,"gpsTickAgeMs":650,"lat":51.352058,"lng":19.375028,"hdg":318,"speedKmh":8.4,"exploring":false,"frameMoveM":0}
06-04 20:37:31.857 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:31.857Z | CAM_FOLLOW_PUSH | {"t":1780598251857,"lat":51.352042,"lng":19.375051,"hdg":316,"snapHdg":316,"speedKmh":8,"exploring":false,"source":"drive_marker_sv_60fps"}
06-04 20:37:31.949 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:31.949Z | DRIVE_TRACE_CAMERA | {"t":1780598251949,"seq":69,"gpsTickId":1780598250950,"gpsTickAgeMs":985,"lat":51.35203,"lng":19.375069,"hdg":315,"speedKmh":8.4,"exploring":false,"frameMoveM":0}
06-04 20:37:32.113 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:32.113Z | CAMERA_HEADING | {"t":1780598252113,"speedKmh":8,"movedM":1.17,"moveBearing":null,"snapHdg":313,"headingOut":313,"flipFromPrevDeg":1,"lookaheadM":0,"nativeFollow":true}
